Experiment,Description,Mean_AUC,Std_AUC,Mean_F1,Std_F1,Mean_Recall,Std_Recall,Mean_Precision,Std_Precision,Mean_Specificity,Std_Specificity
cnn_max,CNN max pooling only,0.4894,0.1200,0.4162,0.0946,0.5333,0.0919,0.3440,0.0915,0.4682,0.1405
cnn_mean,CNN mean pooling only,0.5446,0.1564,0.3441,0.2392,0.3867,0.2587,0.3357,0.2650,0.6455,0.3258
cnn_pca,CNN max pooling + PCA,0.4288,0.0789,0.3103,0.0765,0.4400,0.2102,0.2700,0.0715,0.3682,0.3150
demo_only,Demographics only,0.4605,0.0851,0.2353,0.2232,0.3400,0.3467,0.1849,0.1658,0.6136,0.2780
hand_only,Hand-crafted features only,0.6044,0.1539,0.3649,0.2036,0.4733,0.2736,0.3076,0.1820,0.6000,0.2610
hand_demo,Hand-crafted + Demographics,0.5565,0.1452,0.3695,0.2213,0.4333,0.2951,0.3600,0.1960,0.7091,0.2256
best_cnn_hand,Best CNN + Hand-crafted,0.4661,0.1408,0.3111,0.0908,0.3200,0.1240,0.3547,0.1446,0.6091,0.2926
best_cnn_hand_demo,Best CNN + Hand-crafted + Demographics (FULL),0.5382,0.1841,0.3734,0.2189,0.4533,0.3493,0.3800,0.1939,0.7106,0.2851
