Configuration,AUC,Accuracy,Precision,Recall,F1,Specificity
CNN-only,0.394±0.062,0.406±0.092,0.250±0.033,0.393±0.140,0.297±0.051,0.415±0.200
CNN+Demo,0.389±0.056,0.429±0.027,0.237±0.121,0.473±0.285,0.312±0.168,0.415±0.182
CNN+Handcrafted,0.476±0.069,0.442±0.069,0.310±0.054,0.567±0.181,0.395±0.083,0.374±0.154
CNN+Demo+Hand,0.567±0.059,0.548±0.078,0.394±0.063,0.613±0.113,0.474±0.060,0.518±0.134
