fold,val_auc,optimal_threshold,test_auc_default,test_accuracy_default,test_precision_default,test_recall_default,test_f1_default,test_specificity_default,test_auc_optimal,test_accuracy_optimal,test_precision_optimal,test_recall_optimal,test_f1_optimal,test_specificity_optimal
0,0.6666666666666666,0.5163363814353943,0.5555555555555556,0.4444444444444444,0.3,0.5,0.375,0.4166666666666667,0.5555555555555556,0.5,0.3333333333333333,0.5,0.4,0.5
1,0.9696969696969696,0.6419245004653931,0.6818181818181819,0.47058823529411764,0.4,1.0,0.5714285714285714,0.18181818181818182,0.6818181818181819,0.6470588235294118,0.5,0.6666666666666666,0.5714285714285714,0.6363636363636364
2,0.7636363636363637,0.5015391707420349,0.5454545454545454,0.5294117647058824,0.375,0.5,0.42857142857142855,0.5454545454545454,0.5454545454545454,0.5294117647058824,0.375,0.5,0.42857142857142855,0.5454545454545454
3,0.4545454545454546,0.47169390320777893,0.5454545454545454,0.5,0.3333333333333333,0.6,0.42857142857142855,0.45454545454545453,0.5454545454545454,0.4375,0.3333333333333333,0.8,0.47058823529411764,0.2727272727272727
4,0.6666666666666669,0.562683641910553,0.509090909090909,0.375,0.3076923076923077,0.8,0.4444444444444444,0.18181818181818182,0.509090909090909,0.625,0.42857142857142855,0.6,0.5,0.6363636363636364
