fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold
fold0,0.7651515151515151,0.75,0.3888888888888889,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.47619047619047616,0.32159799941127754
fold1,0.7727272727272726,0.6818181818181818,0.5294117647058824,0.3333333333333333,0.3333333333333333,0.6363636363636364,0.3333333333333333,0.31994123248533957
fold2,0.9090909090909091,0.7121212121212122,0.6470588235294118,0.5,0.16666666666666666,0.9090909090909091,0.25,0.3712862745654506
fold3,0.7545454545454545,0.7363636363636363,0.625,0.42857142857142855,0.6,0.6363636363636364,0.5,0.3436277481395095
fold4,0.9722222222222223,0.6181818181818182,0.625,0.3333333333333333,0.2,0.8181818181818182,0.25,0.3744389939757898
