epoch,pred_mean,pred_std,pred_min,pred_max,pred_q25,pred_q75,true_mean,true_std,correlation,residual_mean,residual_std,mode_collapse_score
5,-3.7394335,0.014436076,-3.7683897,-3.7148807,-3.7504005,-3.7284348,-2.714541,4.747782,0.19219442313378096,-1.0248922,4.745029,0.0030405936
10,-4.0318794,0.012897097,-4.0556455,-4.000961,-4.041533,-4.0230665,-2.714541,4.747782,0.15165593135233782,-1.3173388,4.7458434,0.0027164465
15,-4.154672,0.006588548,-4.167105,-4.1399245,-4.1593094,-4.1505156,-2.714541,4.747782,0.11283881513218424,-1.4401314,4.747043,0.0013877107
20,-4.1690507,0.006259817,-4.181635,-4.159922,-4.174126,-4.164471,-2.714541,4.747782,0.0941338992678323,-1.45451,4.747197,0.0013184719
25,-4.150495,0.009355141,-4.169984,-4.128851,-4.157235,-4.14493,-2.714541,4.747782,0.056292252645261005,-1.4359539,4.747265,0.0019704234
30,-4.1267247,0.009500147,-4.1515074,-4.1102233,-4.131635,-4.1204395,-2.714541,4.747782,-0.09592989719291976,-1.4121836,4.748703,0.0020009652
