Model,Mean_AUC,Std_AUC,Mean_F1,Std_F1,Mean_Accuracy,Std_Accuracy
XGBoost,0.6155563034707419,0.1481684452156615,0.3719335492824709,0.22554170898079154,0.6527988365571147,0.1181979849935247
Gradient Boosting,0.6088297038671369,0.18228738343182763,0.3326629705363605,0.18697029609435734,0.6083813748797192,0.04804367176132937
Random Forest,0.5979022848808945,0.09704621796507218,0.3802841206853116,0.11475676156447494,0.6444700378723558,0.0791692400559637
Voting Ensemble,0.59046714159281,0.1208128300540287,0.37589986201458697,0.05399993776961462,0.6328929642836927,0.047219907258400175
Stacking Ensemble,0.5051989475171293,0.11465003124694469,0.0,0.0,0.6407876974019358,0.0687280306788538
Logistic Regression,0.4073860779743133,0.1496107275404774,0.23842356331705084,0.12588098013355437,0.6104119390543231,0.07008752455491364
